Etunimi,Lukumäärä
Karl-Erik,220
Kare,219
Leonel,219
Mehmet,219
Alexey,218
Gösta,218
Mårten,218
Ola,218
Rico,217
Ernst,216
Mike,216
Isac,215
Lars-Erik,215
Carl-Johan,214
Jermu,214
Olli-Matti,214
Niilas,213
Conny,212
Olle,212
Remi,211
Leino,210
Raul,210
Tristan,209
Khalid,208
Joe,207
Staffan,207
Ville-Valtteri,207
Andrew,206
Benjam,205
Elja,205
Jesperi,205
Dmitry,204
Frej,204
Valentin,204
Amin,203
Kennet,203
Jali,201
Mihail,201
Remu,201
Tore,200
Abdi,199
Ami,199
Aappo,198
Elvin,198
Abdul,197
Jusa,196
Manne,196
Kristo,194
Milan,194
Morris,194
Vilhelm,194
Jani-Petteri,192
Ossian,192
Ron,192
Glenn,191
Hemmi,191
Lionel,191
Birger,190
Jaska,190
Rudolf,190
Luke,189
Muhammed,189
Theodor,189
Colin,188
Mahamed,188
Simo-Pekka,188
Kauri,187
Huugo,186
Joseph,185
Marc,185
Aati,184
Elton,184
Fred,184
Ryan,184
Cristian,183
Eikka,183
Lenny,183
Mohamad,183
Sixten,183
Alfons,182
Caj,182
Charlie,182
René,182
Titus,182
Atro,181
Jarko,181
Micke,181
Zacharias,181
Miklas,180
Sture,180
Otava,179
Sören,179
Uula,179
Aate,178
Nathan,178
Yngve,178
Emir,177
Terno,177
Vidar,177
Elo,176
Ken,176
Sami-Pekka,174
Harald,172
Matteus,172
Sami-Petteri,171
Caspian,170
Ingmar,170
Thor,170
Valtti,170
Verne,170
Kari-Matti,169
Ludvig,169
Bertel,168
Alexi,167
Benjami,167
Rickard,167
Vadim,167
Jaajo,166
Alpi,165
Karl-Johan,164
Saska,164
Josef,163
Werner,163
Sakke,162
Matteo,161
Vladislav,161
Kaino,160
Kosmo,160
Myrsky,160
Rufus,160
Rayan,159
Miiro,158
Valeri,158
Alan,156
Jero,156
Jan-Peter,155
Vinski,155
Juuse,154
Evan,153
Juan,153
Alexei,152
Elvis,152
Jani-Pekka,152
Juho-Matti,152
Zakaria,152
Aarto,151
Eeka,151
Henrikki,151
Hiski,151
Folke,150
Jan-Mikael,150
Kusti,150
Osman,150
Torbjörn,150
Bilal,149
Wiljam,148
Minh,147
Risto-Matti,147
Valle,147
Ahto,146
Ilyas,146
Akusti,145
Eduard,145
Jiro,145
Aale,144
Dante,144
Esa-Matti,144
Gustaf,144
Jeremy,144
Ragnar,144
Yasin,144
Asla,143
Alvi,142
Eevertti,142
Emilio,142
Niko-Petteri,142
