Sukunimi,Yhteensä
Pakkanen,"1,744"
Tahvanainen,"1,742"
Kontio,"1,736"
Nyholm,"1,736"
Närhi,"1,736"
Hakanen,"1,734"
Sandberg,"1,734"
Wikström,"1,734"
Saarelainen,"1,732"
Vainionpää,"1,730"
Lempinen,"1,729"
Tapio,"1,726"
Kujanpää,"1,725"
Mohamed,"1,725"
Ali,"1,723"
Jantunen,"1,718"
Pöyhönen,"1,718"
Kosunen,"1,715"
Hurme,"1,714"
Helander,"1,712"
Suutari,"1,706"
Honkala,"1,701"
Inkinen,"1,692"
Tuomainen,"1,690"
Hyytiäinen,"1,689"
Minkkinen,"1,689"
Hynninen,"1,686"
Tauriainen,"1,685"
Ekholm,"1,680"
Saukkonen,"1,675"
Kaartinen,"1,663"
Rintamäki,"1,661"
Remes,"1,651"
Kääriäinen,"1,649"
Nummela,"1,648"
Saukko,"1,646"
Kautto,"1,641"
Pirhonen,"1,637"
Piironen,"1,636"
Nurmela,"1,629"
Palonen,"1,628"
Puttonen,"1,628"
Pyykkö,"1,627"
Koivu,"1,626"
Kivioja,"1,616"
Itkonen,"1,615"
Vanhala,"1,614"
Söderlund,"1,612"
Selin,"1,606"
Santala,"1,605"
Lukkarinen,"1,604"
Tammi,"1,604"
Harjula,"1,602"
Romppanen,"1,597"
Grönlund,"1,588"
Tuomaala,"1,586"
Halttunen,"1,584"
Nikkanen,"1,583"
Määttänen,"1,574"
Pekkanen,"1,574"
Sundqvist,"1,572"
Mäkilä,"1,569"
Pyykkönen,"1,569"
Tossavainen,"1,567"
Setälä,"1,565"
Välimaa,"1,564"
Tiilikainen,"1,563"
Tukiainen,"1,561"
Kalliomäki,"1,559"
Kananen,"1,558"
Lindeman,"1,557"
Piispanen,"1,557"
Myllylä,"1,552"
Koivumäki,"1,549"
Tyni,"1,547"
Tuomela,"1,546"
Ryhänen,"1,544"
Ahmed,"1,535"
Sivula,"1,530"
Valtanen,"1,526"
Kuitunen,"1,524"
Lintunen,"1,516"
Hakola,"1,510"
Ahtiainen,"1,501"
Hovi,"1,496"
Happonen,"1,495"
Hellsten,"1,495"
Päivärinta,"1,491"
Ketonen,"1,486"
Siekkinen,"1,484"
Pietiläinen,"1,480"
Hellman,"1,479"
Kangasniemi,"1,477"
Tuhkanen,"1,475"
Siltanen,"1,471"
Hakulinen,"1,468"
Kataja,"1,468"
Rämö,"1,466"
Vesala,"1,465"
Pettersson,"1,460"
Poutanen,"1,457"
Piipponen,"1,450"
Toikka,"1,446"
Nyyssönen,"1,444"
Talvitie,"1,444"
Montonen,"1,442"
Peltomäki,"1,440"
Lindén,"1,439"
Piippo,"1,433"
Vänskä,"1,433"
Pellinen,"1,432"
Salin,"1,430"
Stenberg,"1,430"
Honkonen,"1,429"
Kuivalainen,"1,429"
Kuusinen,"1,425"
Sjöberg,"1,425"
Wallenius,"1,425"
Haapalainen,"1,420"
Valli,"1,419"
Räihä,"1,415"
Torvinen,"1,415"
Turtiainen,"1,415"
Mäntynen,"1,414"
Sandström,"1,412"
Parkkonen,"1,411"
Kuikka,"1,408"
Mykkänen,"1,406"
Palosaari,"1,406"
Vaittinen,"1,398"
Kuittinen,"1,395"
Jaakola,"1,393"
Kärnä,"1,392"
Syrjänen,"1,385"
Jalkanen,"1,384"
Kuparinen,"1,384"
Herranen,"1,379"
Nikkilä,"1,375"
Sippola,"1,374"
Iivonen,"1,372"
Suni,"1,370"
Soikkeli,"1,369"
Jäppinen,"1,368"
Nikkinen,"1,368"
Rahkonen,"1,368"
Grönholm,"1,365"
Hallikainen,"1,363"
Utriainen,"1,363"
Orava,"1,359"
Männikkö,"1,358"
Lamberg,"1,357"
Pellikka,"1,353"
Savela,"1,350"
Reijonen,"1,347"
Vuorenmaa,"1,347"
Pursiainen,"1,346"
Lönnqvist,"1,344"
Hynynen,"1,341"
Kakko,"1,341"
Nordlund,"1,339"
Raunio,"1,337"
Annala,"1,334"
Niskala,"1,334"
Ervasti,"1,331"
Tuomola,"1,330"
Manner,"1,328"
Ojanperä,"1,327"
Puumalainen,"1,324"
Öhman,"1,324"
Leivo,"1,321"
Mähönen,"1,321"
Viljakainen,"1,321"
Katajamäki,"1,320"
Vatanen,"1,320"
Kaunisto,"1,318"
Saikkonen,"1,318"
Isotalo,"1,317"
Pulli,"1,315"
Lappi,"1,314"
Peltomaa,"1,312"
Sairanen,"1,312"
Sundberg,"1,312"
Salovaara,"1,310"
Nissilä,"1,308"
Vehviläinen,"1,304"
Kukkola,"1,303"
Putkonen,"1,303"
Kaukonen,"1,301"
Juutilainen,"1,300"
Wallin,"1,300"
Nordman,"1,297"
Sipola,"1,297"
Pohjonen,"1,294"
Hukkanen,"1,293"
Naukkarinen,"1,293"
Oja,"1,288"
Numminen,"1,287"
Kekäläinen,"1,286"
Huhta,"1,283"
Pynnönen,"1,283"
Heimonen,"1,282"
Olkkonen,"1,280"
Kankkunen,"1,279"
Vauhkonen,"1,279"
Jämsä,"1,276"
Tynkkynen,"1,274"
Kurvinen,"1,273"
Virkkunen,"1,273"
Väätäinen,"1,273"
Lähde,"1,268"
Pihlajamäki,"1,268"
Suokas,"1,268"
Kervinen,"1,267"
Holma,"1,266"
Haikonen,"1,265"
Mutanen,"1,265"
Vikman,"1,261"
Siltala,"1,260"
Vanhatalo,"1,257"
Pihlaja,"1,256"
Malmberg,"1,254"
Mäkeläinen,"1,253"
Reponen,"1,253"
Säkkinen,"1,252"
Kohonen,"1,251"
Hurskainen,"1,249"
Palmu,"1,247"
Blom,"1,243"
Haanpää,"1,243"
Kumpula,"1,242"
Lindell,"1,240"
Hintikka,"1,239"
Murto,"1,239"
Haapakoski,"1,238"
Kaipainen,"1,237"
Ovaska,"1,237"
Pylkkänen,"1,237"
Lintula,"1,230"
Roos,"1,229"
Elomaa,"1,228"
Kiviranta,"1,225"
Kuoppala,"1,225"
Mannila,"1,224"
Kovalainen,"1,223"
Huhtanen,"1,222"
Vainikka,"1,222"
Söderholm,"1,218"
Klemetti,"1,217"
Kilpinen,"1,216"
Ovaskainen,"1,216"
Päivinen,"1,216"
Poutiainen,"1,214"
Rouhiainen,"1,214"
Ek,"1,213"
Kupiainen,"1,213"
Jokelainen,"1,210"
Vainikainen,"1,209"
Ratilainen,"1,208"
Kivi,"1,207"
Himanen,"1,202"
Viinikainen,"1,200"
Pietarinen,"1,199"
Perttula,"1,197"
Raitanen,"1,197"
Mielonen,"1,196"
Suuronen,"1,191"
Tarkiainen,"1,183"
Liikanen,"1,177"
Rekola,"1,175"
Bergström,"1,173"
Lundberg,"1,172"
Sarkkinen,"1,170"
Ruokonen,"1,169"
Leskelä,"1,168"
Fagerström,"1,166"
Saarenpää,"1,164"
Siivonen,"1,161"
Haapamäki,"1,159"
Kannisto,"1,156"
Rantamäki,"1,156"
Janhunen,"1,153"
Raappana,"1,152"
Tuononen,"1,152"
Veijalainen,"1,152"
Parikka,"1,151"
Granholm,"1,148"
Gröhn,"1,148"
Julkunen,"1,146"
Tölli,"1,144"
Granlund,"1,143"
Ström,"1,142"
Vaara,"1,142"
Kirjavainen,"1,140"
Saario,"1,140"
Jalava,"1,139"
Ilomäki,"1,138"
Peura,"1,138"
Sundell,"1,136"
Marjamäki,"1,133"
Sarajärvi,"1,133"
Laatikainen,"1,131"
Junnila,"1,130"
Vesa,"1,130"
Rahikainen,"1,129"
Ripatti,"1,128"
Saarikoski,"1,128"
Vänttinen,"1,128"
Palo,"1,126"
Tanninen,"1,125"
Majuri,"1,124"
Nikander,"1,123"
Äijälä,"1,123"
Häggblom,"1,122"
Pentikäinen,"1,122"
Martin,"1,121"
Reunanen,"1,120"
Westerholm,"1,120"
Varjonen,"1,117"
Kauranen,"1,115"
Loikkanen,"1,114"
Okkonen,"1,114"
Lyytinen,"1,112"
Myllynen,"1,112"
Kemppi,"1,108"
Oksa,"1,108"
Hongisto,"1,106"
Kunnari,"1,106"
Nisula,"1,105"
Jutila,"1,104"
Heinänen,"1,103"
Blomberg,"1,101"
Åkerlund,"1,101"
Katainen,"1,098"
Lampela,"1,098"
Åberg,"1,097"
Lukkari,"1,096"
Kekki,"1,095"
Rautanen,"1,095"
Rosenberg,"1,095"
Kesti,"1,091"
Paasonen,"1,089"
Östman,"1,089"
Juhola,"1,088"
Hulkkonen,"1,086"
Vilén,"1,085"
Forsberg,"1,081"
Ahlgren,"1,078"
Ristimäki,"1,077"
Sjöholm,"1,075"
Knuutila,"1,071"
Korkiakoski,"1,069"
Maijala,"1,069"
Hassan,"1,067"
Niinimäki,"1,061"
Vornanen,"1,061"
Forss,"1,057"
Kolari,"1,056"
Takkinen,"1,056"
Tissari,"1,056"
Kytölä,"1,050"
Söderström,"1,049"
Kontkanen,"1,047"
Lamminen,"1,043"
Sorvari,"1,040"
Arvola,"1,039"
Pollari,"1,039"
Lundström,"1,038"
Heikura,"1,036"
Ropponen,"1,036"
Nilsson,"1,034"
Tuppurainen,"1,034"
Weckström,"1,030"
Bäckman,"1,028"
Aronen,"1,026"
Ijäs,"1,023"
Mäkipää,"1,023"
Hedman,"1,022"
Myllykoski,"1,022"
Vikström,"1,021"
Hietamäki,"1,020"
Roininen,"1,020"
Österberg,"1,018"
Hirvelä,"1,017"
Metso,"1,016"
Juutinen,"1,013"
Saloranta,"1,009"
Malm,"1,008"
Similä,"1,006"
Uutela,"1,006"
Lempiäinen,"1,005"
Tran,"1,005"
Härmä,"1,004"
Markkula,"1,004"
Tiitinen,"1,003"
Korpinen,"1,000"
Hintsala,998
Kela,998
Palm,997
Strömberg,992
Puurunen,991
Peltokangas,989
Koivukangas,988
Kapanen,986
Kaasinen,985
Olli,985
Ylikoski,985
Lång,984
Hildén,982
Ekström,978
Porkka,978
Yrjölä,978
Nummi,977
Hujanen,976
Rahkola,976
Björkman,975
Rajaniemi,975
Tuukkanen,975
Toikkanen,973
Kemppinen,971
Laitala,970
Katajisto,969
Niva,969
Rusanen,969
Järveläinen,968
Kallinen,968
Roivainen,968
Salomäki,965
Pärssinen,961
Höglund,960
Haarala,959
Surakka,954
Pulliainen,953
Luukkanen,952
Viljamaa,952
Suorsa,950
Uimonen,948
Teittinen,945
Kröger,943
Österlund,943
Ilvonen,941
Syrjä,941
Enqvist,939
Kurkela,938
Törmä,937
Loponen,936
Virkki,935
Nordberg,933
Asplund,932
Rannikko,932
Björk,931
Koskelo,929
Dahl,928
Ikävalko,928
Mönkkönen,928
Purhonen,928
Sirkiä,928
Hietikko,927
