Etunimi,Lukumäärä
Valpuri,"1,543"
Rebecca,"1,541"
Inna,"1,526"
Fiona,"1,525"
Thi,"1,525"
Neela,"1,524"
Marja-Terttu,"1,517"
Leea,"1,501"
Stina,"1,500"
Mea,"1,495"
Ira,"1,488"
Annette,"1,478"
Helen,"1,473"
Justiina,"1,471"
Pilvi,"1,471"
Eleonoora,"1,469"
Lovisa,"1,467"
Iines,"1,458"
Raisa,"1,457"
Aida,"1,444"
Kanerva,"1,444"
Vanamo,"1,442"
Greta,"1,436"
Aurelia,"1,435"
Lilia,"1,435"
Ursula,"1,434"
Martina,"1,425"
Tia,"1,403"
Elea,"1,400"
Elizabeth,"1,390"
Lyyli,"1,385"
Iita,"1,384"
Else,"1,377"
Kirsi-Marja,"1,375"
Siru,"1,358"
Anna-Mari,"1,355"
Lumia,"1,355"
Henni,"1,347"
Lina,"1,342"
Adeliina,"1,327"
Fredrika,"1,325"
Valentina,"1,324"
Yvonne,"1,315"
Aamu,"1,311"
Juuli,"1,305"
Magdalena,"1,298"
Mariitta,"1,298"
Benita,"1,295"
Beatrice,"1,288"
Agneta,"1,286"
Alissa,"1,278"
Marja-Riitta,"1,272"
Hanna-Leena,"1,271"
Tuovi,"1,267"
Mathilda,"1,262"
Henrika,"1,254"
Svetlana,"1,251"
Hanna-Mari,"1,249"
Ingegerd,"1,248"
Madeleine,"1,245"
Milena,"1,245"
Malin,"1,233"
Terhikki,"1,226"
Janica,"1,218"
Viena,"1,218"
Ebba,"1,216"
Anne-Maria,"1,209"
Barbro,"1,208"
Kirsikka,"1,207"
Sarah,"1,204"
Auroora,"1,203"
Felicia,"1,202"
Silvia,"1,201"
Leona,"1,198"
Laina,"1,194"
Serafiina,"1,193"
Vellamo,"1,193"
Anna-Leena,"1,191"
Ann,"1,189"
Bea,"1,187"
Tina,"1,185"
Mohamed,"1,184"
Kira,"1,161"
Sohvi,"1,161"
Ann-Mari,"1,159"
Caroline,"1,158"
Peppiina,"1,153"
Berit,"1,151"
Valma,"1,151"
Siv,"1,150"
Meea,"1,148"
Malla,"1,134"
Lila,"1,127"
Adessa,"1,124"
Miranda,"1,123"
Mariella,"1,119"
Nanna,"1,113"
Tatiana,"1,113"
Tinja,"1,111"
Sarita,"1,103"
Liisi,"1,102"
Beata,"1,101"
Raila,"1,099"
Anne-Marie,"1,085"
Siviä,"1,085"
Hely,"1,082"
Milka,"1,081"
Rakel,"1,081"
Kaarin,"1,080"
Mailis,"1,077"
Michaela,"1,076"
Riia,"1,076"
Natalie,"1,068"
Adelia,"1,066"
Paulina,"1,066"
Janni,"1,065"
Verna,"1,061"
Sabina,"1,058"
Mimmi,"1,056"
Marjo-Riitta,"1,054"
Ellinoora,"1,051"
Sophie,"1,051"
Tessa,"1,051"
Sofi,"1,049"
Minka,"1,046"
Virva,"1,037"
Miriam,"1,032"
Unna,"1,025"
Elna,"1,009"
Nicole,"1,005"
Ines,998
Ruut,998
Pirkko-Liisa,997
Veronika,995
Maya,991
Sanna-Mari,985
Signe,981
Emily,980
Maj-Britt,980
Ansa,978
Isa,975
Sophia,972
Nuppu,970
Ekaterina,967
Edit,962
Nadja,962
Annamari,960
Claudia,954
Ruth,953
Teresia,952
Alicia,944
Marlene,943
Lily,937
Åsa,933
Julianna,928
Juliaana,922
Maarika,921
Vilhelmina,917
Aina,912
Annu,911
Emelie,911
Adelina,910
Bertta,910
Jennifer,907
Juliana,902
Eedit,900
Maija-Leena,897
Kerttuli,896
Minni,896
Edla,895
Gun,894
Agnes,888
Nelly,888
Katrina,884
Melinda,878
Margareetta,877
Minerva,877
Hanna-Kaisa,875
Lucia,874
Michelle,871
Stiina,867
Pipsa,862
Jatta,860
Selja,860
Ahmed,857
Jessika,856
Mai,855
Ina,853
Annastiina,846
Angelica,842
Rose,840
Kielo,837
Nita,835
Gunvor,822
Bettina,821
Micaela,819
Tove,816
Lisbeth,810
Josefin,802
Gabriella,799
Mary,794
Tatjana,792
Kastehelmi,786
Lili,784
Margareeta,781
Andrea,780
Annikka,779
Nathalie,776
Emilie,770
Rea,770
Gunnel,769
Maj,767
Serafia,767
Milana,759
Jasmina,758
Kukka,758
Bella,752
Sigrid,746
