Etunimi,Lukumäärä
Gustaf,"1,589"
Noah,"1,577"
Iivo,"1,567"
Tenho,"1,565"
Ralf,"1,537"
Arthur,"1,530"
Christoffer,"1,527"
Åke,"1,526"
Elis,"1,516"
Albin,"1,510"
Alvari,"1,505"
Dan,"1,498"
Timi,"1,497"
Tuure,"1,486"
Kosti,"1,468"
Mico,"1,449"
Jiri,"1,418"
Helge,"1,412"
Adrian,"1,410"
Elliot,"1,405"
Sulevi,"1,405"
Isak,"1,395"
Nicolas,"1,385"
Liam,"1,383"
Bernhard,"1,382"
Salomon,"1,370"
Vincent,"1,366"
Iisak,"1,365"
Iikka,"1,359"
Aamos,"1,358"
Heino,"1,356"
Jan-Erik,"1,354"
Rauli,"1,341"
James,"1,336"
Petrus,"1,332"
Filip,"1,320"
Kaspian,"1,317"
Raine,"1,307"
Ulf,"1,299"
Waldemar,"1,285"
Kristoffer,"1,278"
Tiitus,"1,278"
Harald,"1,277"
Jari-Pekka,"1,277"
Walter,"1,277"
Birger,"1,276"
Georg,"1,230"
Teo,"1,227"
Taito,"1,217"
Christopher,"1,214"
Mohammed,"1,212"
Arne,"1,211"
Niki,"1,205"
Venni,"1,188"
Väinämö,"1,186"
Kasimir,"1,176"
Paulus,"1,175"
Auvo,"1,158"
Nicholas,"1,158"
Ilmo,"1,157"
Bror,"1,152"
Valo,"1,150"
Sampsa,"1,147"
Alf,"1,137"
Jens,"1,135"
Vilhelmi,"1,134"
Amos,"1,131"
Manuel,"1,130"
Rudolf,"1,127"
Börje,"1,125"
Jarl,"1,122"
Joose,"1,120"
Mio,"1,117"
Visa,"1,114"
Ingmar,"1,112"
Aksel,"1,109"
Valto,"1,108"
Oula,"1,107"
Noa,"1,106"
Okko,"1,097"
Emanuel,"1,087"
Uljas,"1,076"
Niila,"1,069"
Ben,"1,067"
Jose,"1,065"
Sasu,"1,065"
Erkka,"1,058"
Niclas,"1,058"
Altti,"1,047"
André,"1,045"
Antonio,"1,035"
Maximilian,"1,033"
Kjell,"1,029"
Otava,"1,029"
Simeon,"1,026"
Konstantin,"1,012"
Artur,"1,011"
Wiljami,"1,007"
Eevertti,"1,004"
Elmer,997
Ivar,995
Omar,986
Ville-Veikko,986
Andrei,985
Marco,979
Ibrahim,969
Mohammad,969
Aron,964
Cristian,945
Jon,939
Jakob,938
Ragnar,937
Theo,935
Hjalmar,929
Isto,922
Romeo,913
Tor,912
Viking,912
Torsten,900
Neo,899
Anthony,892
Sakarias,884
Jimmy,883
Ilja,877
Benjam,874
Hassan,872
Roy,872
Adolf,866
Johnny,859
Jooseppi,855
Helmer,852
Mark,851
Miikkael,848
Aatto,840
Ole,832
Leander,830
Bertel,829
Jare,828
Marius,815
Uuno,809
Torsti,806
Holger,805
Atso,804
Asseri,798
Ruben,795
Dennis,792
Frank,788
Vesa-Matti,784
Jeremia,782
Hemmo,771
Julian,770
Jussi-Pekka,768
Antinpoika,765
Yrjänä,764
Teodor,758
Alfons,755
Bjarne,755
Kaius,755
Benjami,752
Tim,747
Usko,743
Ove,742
Rene,739
Aleksei,737
Bruno,731
Into,726
Mauritz,722
Jim,717
Dimitri,715
Valfrid,714
Olav,713
Turo,712
Osvald,711
Roland,709
Ferdinand,708
Aleksandr,701
Hussein,701
Miikael,697
Joosua,694
Sam,692
Abdi,685
Ivan,685
Jonni,685
Edwin,677
Petja,673
Philip,672
Valtter,670
Pekko,667
Arimo,664
Eppu,662
Reko,662
Werner,658
Casimir,652
Micael,650
Miki,650
Alvin,648
Joachim,646
Rune,646
Abdullahi,645
Vladimir,643
Muhammad,642
Jesperi,641
Theodor,638
Veini,635
Ahmad,634
Arno,633
Anselm,628
Boris,616
Jörgen,616
Abdirahman,615
Jacob,614
Kauno,614
Immanuel,611
Charles,609
Antto,608
Zacharias,607
Erland,603
Evald,601
Jasu,601
Sergei,596
Dani,594
Gösta,594
Amir,591
Fabian,591
Matinpoika,591
Nestor,583
Ernst,576
Jean,576
Pontus,576
Wiljam,575
Mustafa,571
Juri,570
Sylvester,569
Juhanpoika,567
Mirko,567
Elian,566
Ohto,562
Sten,560
Matts,559
Guy,558
Raino,558
Sameli,556
Bertil,545
Runar,544
Nicklas,541
Joseph,538
Ylermi,537
Herbert,534
Ludvig,532
Jaro,531
Mikonpoika,531
Ville-Pekka,526
Vilppu,525
Andrew,524
Vesa-Pekka,523
Helmeri,519
Kent,519
Dominic,518
Arsi,510
Joa,508
Tage,508
Joshua,505
Arnold,503
Leonardo,502
Mainio,499
Osku,498
Igor,497
Eugen,496
Maxim,495
Yngve,492
Esaias,488
Nikita,483
Torbjörn,483
Levi,479
Reinhold,479
Antti-Jussi,475
Pavel,475
Ronny,475
Salomo,475
Karim,474
Kuisma,472
Yusuf,470
Wille,469
Kari-Pekka,467
Ingemar,465
Roman,462
Aake,459
Leonel,458
Valde,458
George,453
Samppa,450
Denis,449
Jack,449
Svante,449
Eeti,448
Akusti,445
Klas,441
Abdullah,439
Ian,439
Nino,438
Josef,437
Elo,435
Antti-Pekka,434
Karl-Erik,430
Turkka,429
Jonny,428
Mikke,428
Lionel,426
Asmo,425
Raineri,424
Knut,423
Mahamed,423
Toimi,423
Matthew,420
Augusti,418
Jason,418
Pietu,417
Mertsi,416
Herkko,411
Maunu,411
Ismail,409
Matteus,409
Miio,409
Villiam,407
Timonpoika,406
Hilding,404
Ola,403
Hasan,402
Karl-Johan,402
Maximus,401
Orvo,401
Mårten,400
Kusti,399
Carlos,398
Kristofer,397
Aatami,396
Torolf,396
Jukanpoika,395
Said,395
Sune,395
Milton,393
Emmanuel,392
Hemminki,391
Werneri,391
Aappo,390
Torvald,389
Wäinö,388
Sixten,386
Maksim,384
Aadolf,381
Hemming,379
Soini,378
Erkko,376
Van,376
Alexis,375
Sigurd,374
Amin,373
Melvin,373
Jalmar,372
Folke,370
Heikinpoika,369
Aate,368
Emilio,368
Karo,366
Pekanpoika,366
Mitja,363
Rickard,362
Caspian,359
Pirkka,359
Totti,359
Ville-Petteri,359
Abraham,357
Hemmi,356
Per-Erik,354
Jarinpoika,353
Berndt,351
Nikodemus,351
Myrsky,350
Pete,350
Petro,350
Bernt,349
René,349
Vidar,349
Alexandre,347
Elvis,347
Mikhail,346
Samir,346
Urmas,346
Benny,344
Konrad,344
Thor,342
Amadeus,341
Osman,341
Kuutti,340
Sture,340
Alexi,339
Kaino,338
Lars-Erik,338
Matteo,338
Carl-Johan,335
Ingvar,332
Wilmer,332
Ted,331
Kennet,330
Olle,326
Alan,323
Oleg,323
Masi,322
Alec,321
Khalid,321
Adiel,320
Jaani,320
Jake,320
Viggo,319
Ernesti,318
Staffan,317
Abel,316
Isac,316
Mihail,315
Minh,315
Edgar,314
Jetro,313
Ilo,312
Maurits,310
Selim,310
Eddie,309
Eskil,308
Jasse,308
Tristan,308
Esa-Pekka,307
Hamza,305
Tore,303
Ville-Matti,303
Leopold,302
Valio,302
Nikke,301
Junior,300
Leino,300
Sören,300
Uula,299
Jari-Matti,298
Kirill,298
Nemo,298
Mohamud,297
Hannunpoika,295
Hannu-Pekka,294
Morris,294
Renne,293
Karinpoika,291
Immo,289
Aarto,288
Ari-Matti,288
Pessi,288
Raymond,288
Louis,287
Mario,287
Jermu,285
Luis,285
Uno,285
Huugo,284
Juho-Pekka,284
Peik,284
Raul,284
Rony,283
Ernest,282
Andre,280
Jasperi,280
Miiko,280
Sigfrid,280
Lee,279
Ronnie,279
Abdulkadir,278
Kristo,277
Aati,276
Aleks,276
Kerkko,276
Rurik,276
Anas,275
Conny,275
Terno,275
Abdul,274
Elja,274
Sammeli,271
Jussinpoika,270
Sergey,270
Kare,269
Frej,268
Jone,268
Roberto,268
Andrey,267
Arttur,267
Joe,267
Dick,266
Dmitri,266
Ingvald,264
Liinus,264
Nathan,264
Elof,263
Manne,262
Mike,262
Luke,261
Miguel,261
Mohamad,261
Ryan,260
Daniil,259
Rico,259
Glenn,258
Abbas,257
Marc,257
Timo-Pekka,257
Patric,256
Eikka,254
Ami,253
Atro,252
Mateo,252
Mehmet,251
Milan,250
Mikanpoika,249
Michel,248
Alvi,247
Ariel,247
Finn,246
Gerhard,246
Jeremy,246
Eliot,245
Jaska,245
Caj,244
Jali,244
Ville-Valtteri,244
Alpi,243
Francis,241
Matthias,241
Niilas,241
Elvin,240
Titus,240
Aaretti,239
Fjalar,238
Miklas,238
Remu,238
Valeri,238
Markunpoika,237
Aale,236
Artem,236
Muhammed,236
Singh,234
Fred,233
Colin,232
Mahdi,232
Greger,231
Rufus,231
Remi,230
Rickhard,230
Ronald,230
Charlie,229
Eduard,229
Jannenpoika,229
Johann,228
Atlas,227
Feliks,227
Mahmoud,227
Raafael,226
Ken,225
Tuisku,225
Alberto,224
Alexei,224
Elton,224
Ricardo,224
Thanh,223
Ahto,222
Olli-Matti,222
Saul,222
Alexey,221
Kauri,221
Valtti,221
Hiski,220
Emir,218
Juan,218
Villehard,218
Jaakonpoika,217
Ron,217
Adnan,215
Jarko,215
Verne,214
Karl-Gustav,212
Ture,212
Arinpoika,211
Jusa,211
Sigvard,211
Evan,210
Isaac,210
Timothy,210
Yasin,209
Dmitry,207
Lemmy,206
Ludwig,206
Tyko,206
Jamal,205
