Etunimi,Lukumäärä
Aamu,851
Inari,847
Hanna-Kaisa,846
Kyllikki,845
Verna,845
Janica,841
Hely,830
Jasmine,825
Gun,821
Selina,820
Iita,819
Nadja,817
Mirella,812
Anastasia,806
Ingrid,801
Åsa,797
Greta,795
Annu,792
Marjukka,786
Sohvi,786
Rebekka,785
Ester,779
Ansa,777
Sofie,774
Ruut,773
Unna,772
Maija-Leena,769
Nita,769
Anne-Marie,763
Harriet,763
Jatta,762
Laina,759
Liisi,753
Pipsa,752
Maj-Britt,751
Mimmi,751
Maaret,748
Iines,745
Elea,743
Aulikki,728
Tove,727
Elviira,722
Milena,721
Lydia,720
Nelly,719
Minni,715
Alice,712
Isa,705
Selja,705
Maya,701
Annamari,696
Mirjami,695
Piritta,690
Tellervo,686
Leona,683
Benita,680
Margareta,677
Sylvia,677
Lily,676
Pirita,674
Lyyli,666
Alissa,659
Lili,649
Matleena,643
Rea,641
Ruth,634
Ina,631
Mirkka,625
Jennifer,623
Emily,620
Lara,616
Annette,615
Ines,615
Gunnel,611
Ann-Mari,610
Noomi,608
Onerva,608
Yvonne,608
Ann,605
Sarita,601
Sabina,594
Valentina,594
Sinna,591
Evelina,589
Elisabeth,581
Regina,581
Adessa,580
Tara,579
Gunvor,573
Martina,572
Eve,568
Galina,568
Hanna-Maria,565
Ilse,565
Jasmiina,563
Siri,562
Carolina,561
Britta,560
Mailis,560
Veronica,559
Patricia,557
Marju,553
Pirjo-Riitta,549
Elna,548
Felicia,548
Kielo,546
Helen,543
Bertta,542
Doris,541
Sofi,536
Linn,534
Siina,534
Christa,533
Silvia,528
Orvokki,527
Tatjana,526
Henna-Riikka,524
Ria,522
Ulrika,521
Loviisa,520
Silva,519
Christel,518
Claudia,518
Natalie,518
Elvira,513
Ida-Maria,507
Anne-Maarit,504
Suoma,504
Jessika,499
Nuppu,495
Eedit,494
Louna,493
Charlotte,492
Signe,490
Josefina,485
Lisbeth,483
Milana,482
Pirjo-Liisa,482
Helmiina,481
Vilhelmiina,480
Amelie,478
Bella,478
Eivor,477
Elisabet,477
Nicole,477
Raakel,477
Amina,476
Ritva-Liisa,474
Saini,468
Maj-Lis,467
Sanna-Kaisa,465
Veronika,465
Sirja,464
Mariia,463
Eeva-Maria,461
Melinda,461
Michelle,460
Ellinoora,459
Agnes,458
Alicia,458
Maaria,457
Clara,453
Hellevi,453
Anna-Sofia,452
Fiia,452
Beata,450
Sani,450
Meiju,446
Eija-Liisa,445
Miranda,444
Agneta,443
Liinu,443
Jane,438
Lumia,438
Julianna,437
Ilmi,433
Mai,432
Tamara,431
Emelie,430
Sanna-Maria,430
Tua,429
Soila,427
Nathalie,426
Aisha,423
Eeva-Maija,422
Assi,420
Karla,414
Nana,414
Sophie,414
Stiina,412
Hillevi,411
Iida-Maria,410
Jelena,409
Teea,409
Ulpu,406
Michaela,403
Christine,402
Aina,401
Linnéa,401
Mary,401
Sienna,399
Viktoria,399
Fatima,396
Sophia,396
Bettina,395
Karolina,395
Moa,394
Lidia,393
Jadessa,388
Madeleine,388
Caroline,387
Sarianna,386
Hannamari,384
Aliina,382
Mandi,382
Yasmin,382
Mariam,381
Usva,381
Jeanette,380
Larissa,378
Roosa-Maria,375
Maja,373
Freja,372
Jannika,371
Maj,371
Adelia,370
Anne-Maj,370
Naomi,369
Mathilda,368
Annemari,367
Daria,366
Eden,365
Jasmina,365
Hanna-Maija,364
Hannah,361
Edla,360
Nenna,360
Pamela,359
Kaino,358
Maryam,358
Sade,358
My,354
Lia,353
Rebecka,351
Gun-Britt,350
Tiia-Maria,348
Kirsi-Maria,347
Andrea,345
Samira,342
Ann-Marie,337
Iitu,337
Miira,335
Minna-Liisa,335
Jarna,333
Jessi,333
Leena-Maija,331
Liana,331
Annastiina,330
Briitta,330
Rianna,329
Rosanna,329
Salma,329
Zahra,327
Adelina,326
Pernilla,325
Lenita,324
Märta,324
Nadia,323
Vivi,323
Bianca,322
Henrietta,321
Leeni,321
Merita,321
Margarita,320
Amira,319
Miriam,319
Hulda,318
Sonia,317
Ann-Christine,315
Maili,315
Beatrice,312
Heleena,312
Jenniina,311
Ramona,309
Vaula,309
Raija-Liisa,308
Ylva,308
Carla,306
Karina,305
Ninja,305
Rosita,303
Esteri,301
Miila,300
Helene,299
Sanja,297
Mirja-Liisa,296
Impi,294
Liia,294
Marit,294
Melisa,294
Gerd,293
Thea,292
Nette,291
Klara,290
Riika,290
Valeria,289
Angelica,288
Eeva-Kaisa,286
Molly,286
Rakel,286
Ruusa,286
Lovisa,285
Mari-Anne,285
Maj-Len,283
Susa,283
Svea,283
Annica,282
Hanna-Riikka,280
Justiina,280
Dina,278
Mariella,278
Maikki,277
Anri,273
Paulina,273
Salla-Mari,273
Ursula,273
Angelina,272
Emilie,272
Freya,272
Polina,271
Telma,270
Viveka,270
Lisbet,269
Auri,268
Edit,268
Maia,268
Hellä,266
Mariitta,266
Tiiu,265
Kajsa,263
Viveca,263
Eeva-Riitta,261
Jana,260
Kreetta,260
Anna-Riikka,259
Arja-Liisa,259
Auni,259
Eeva-Leena,258
Elizabeth,257
Louise,257
Hilppa,256
Josefin,256
Gretel,255
Isabelle,255
Micaela,255
Henrika,254
Rosa-Maria,254
Jenina,253
Jennie,253
Marlene,253
Sigrid,253
Anelma,252
Tilde,252
Josefine,251
Ninna,250
Ann-Christin,249
Kaija-Leena,249
Sabrina,249
Erna,248
Ksenia,248
Liudmila,248
Kaarin,247
Lotte,247
Lyyti,247
Maija-Riitta,247
Britt-Marie,246
Juliana,245
Susann,245
Gabriella,244
Hanni,244
Pieta,243
Evelin,242
Raita,242
Nova,241
Elizaveta,240
Arja-Leena,239
Klaara,238
Larisa,238
Meri-Tuuli,238
Rut,238
Anna-Lena,236
Cassandra,235
Lilly,235
Celina,234
Eleonora,234
Nadezda,234
Ana,233
Leni,232
Marleena,230
Wilhelmiina,230
Anna-Riitta,229
Malva,228
Suvi-Tuuli,228
Annakaisa,226
Emmiina,226
Filippa,226
Katrina,226
Anna-Kaarina,225
Eva-Maria,225
Noona,225
Angela,223
Jannica,223
Marke,223
Tinka,223
Hellin,221
Maini,220
Annie,219
Alla,218
Disa,218
Evi,218
Piitu,218
Sirke,218
Sirpa-Liisa,218
Jennika,217
Minna-Maria,217
Britt,216
Ellinor,216
Sissi,216
Catharina,215
Hanna-Liisa,215
Kukka,215
Marissa,215
Sarianne,215
Adalmiina,214
Aino-Maria,214
Sannamari,214
Carmen,213
Janet,213
Merja-Liisa,213
Riitta-Leena,212
Sanna-Maija,212
Selena,212
Adeliina,211
Eeva-Kaarina,211
Magdalena,211
Ulla-Riitta,211
Aino-Maija,210
Mariel,209
Liv,208
Pia-Maria,208
Seidi,207
Solja,207
Ann-Sofie,206
Heidi-Maria,206
Reea,206
Ruusu,206
Elli-Noora,205
Fia,205
Halla,205
Peppiina,204
Arla,203
Esther,201
Mimi,201
Mina,201
Ellie,200
Lucia,199
Minerva,199
Päivikki,199
Viia,199
Catarina,198
Kaija-Liisa,198
Kukka-Maaria,198
Sanna-Leena,198
Elmi,197
Evelyn,197
Kamilla,197
Vanamo,197
Zainab,197
Amy,196
Ani,196
Ilta,196
May,196
Nancy,196
Else-Maj,195
Jasmi,195
Margita,195
Tia-Maria,195
Bodil,194
Cindy,193
Nellie,193
Emmy,192
Göta,192
Katrin,191
Minna-Mari,191
Yulia,191
Antonia,189
Fadumo,189
Kiti,189
Marta,188
Oksana,188
Eija-Riitta,187
Sina,187
Marica,186
Anne-Maija,185
Aurelia,185
Vivia,185
Evita,184
Sallamari,184
Satu-Maarit,184
Kirsikka,183
Anna-Lisa,181
Venny,180
Rose,179
Evelia,178
Julie,177
Ann-Britt,176
Ella-Maria,176
Ann-Sofi,175
Clarissa,175
Juliaana,175
Eedla,174
Manta,174
Nia,174
